guid,title,pubDate,description,link,media
,,,,,
https://www.hindustantimes.com/india-news/no-covid-positive-cases-in-2-days-odisha-officials-say-curve-may-be-flattening/story-9nnpelyABxd2eNoMuE4uHO.html,"No Covid positive cases in 2 days, Odisha officials say curve may be flattening","Fri, 17 Apr 2020 08:14:36 GMT ","The state’s six Covid-19 laboratories tested 1,197 samples on Wednesday, the highest number for a single day, and another 843 samples were tested on Thursday. ",https://www.hindustantimes.com/india-news/no-covid-positive-cases-in-2-days-odisha-officials-say-curve-may-be-flattening/story-9nnpelyABxd2eNoMuE4uHO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/government-distancing-temporary-maintaining-beneficiaries-lockdown-distribution_1d752594-8083-11ea-a716-f322ae116ff6.jpg
,,,,,
https://www.hindustantimes.com/india-news/hounded-by-social-stigma-kerala-family-dubbed-super-spreader-on-covid-19-fight/story-GQoWKEKdIp0VPIFiQPHJ7J.html,'Hounded by social stigma': Kerala family dubbed 'super spreader' on Covid-19 f...,"Fri, 17 Apr 2020 07:26:29 GMT ","The family has been living in Italy for the past 20 years, and visit their hometown in Kerala once every two years.",https://www.hindustantimes.com/india-news/hounded-by-social-stigma-kerala-family-dubbed-super-spreader-on-covid-19-fight/story-GQoWKEKdIp0VPIFiQPHJ7J.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/_9c226cf0-807c-11ea-a716-f322ae116ff6.jpg
,,,,,
https://www.hindustantimes.com/india-news/92-new-coronavirus-cases-take-gujarat-tally-to-1-021-death-toll-at-30/story-8QPKfmtjvFtvmOKpFnbdBN.html,"92 new coronavirus cases take Gujarat tally to 1,021, death toll at 30","Fri, 17 Apr 2020 07:21:58 GMT ","Coronavirus Update: The two deaths from Covid-19 in Gujarat reported in the last 12 hours were recorded from Vadodara and Ahmedabad districts.  A 31-year-old man died in Vadodara and another aged 55 succumbed in Ahmedabad during his treatment,. ",https://www.hindustantimes.com/india-news/92-new-coronavirus-cases-take-gujarat-tally-to-1-021-death-toll-at-30/story-8QPKfmtjvFtvmOKpFnbdBN.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/people-stand-distributed-food-queue-jain-community_7084490c-807b-11ea-bf35-36f2d834daf8.jpg
,,,,,
https://www.hindustantimes.com/india-news/mistaken-for-thieves-3-lynched-to-death-by-200-strong-mob-in-maharashtra-s-palghar/story-k0RXVlIqPrNTLVuSDNPstM.html,"Mistaken for thieves, 3 lynched to death by 200-strong mob in Maharashtra's Pal...","Fri, 17 Apr 2020 06:57:22 GMT ","According to the police, the mob in Kasa in Maharashtra’s Palghar district mistook the occupants of the Ecco van to be thieves and lynched them to death.",https://www.hindustantimes.com/india-news/mistaken-for-thieves-3-lynched-to-death-by-200-strong-mob-in-maharashtra-s-palghar/story-k0RXVlIqPrNTLVuSDNPstM.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/_b199a0bc-8077-11ea-bf35-36f2d834daf8.png
,,,,,
https://www.hindustantimes.com/india-news/hyd-art-auction-raises-5-lakh-for-covid-fight/story-hxHrefuxGTf0qi2NMpjqCP.html,Hyderabad art auction raises Rs 5 lakh for Covid fight,"Fri, 17 Apr 2020 06:55:14 GMT ","An art gallery in Hyderabad raised Rs 5 lakh for relief work related to the coronavirus epidemic that has already infected over 13,000 persons across the country.",https://www.hindustantimes.com/india-news/hyd-art-auction-raises-5-lakh-for-covid-fight/story-hxHrefuxGTf0qi2NMpjqCP.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/_0ea97336-8078-11ea-a716-f322ae116ff6.jpg
,,,,,
https://www.hindustantimes.com/india-news/1-terrorist-killed-in-encounter-in-kashmir-s-shopian-district/story-CVUEjQqO8rPC6SIGM0X8YK.html,2 terrorists killed in encounter with security forces in J-K's Shopian,"Fri, 17 Apr 2020 05:55:01 GMT ","A police official said the search operation following specific information about the presence of terrorists turned into an encounter after the terrorists fired upon security forces, who retaliated.",https://www.hindustantimes.com/india-news/1-terrorist-killed-in-encounter-in-kashmir-s-shopian-district/story-CVUEjQqO8rPC6SIGM0X8YK.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/indian-terrorists-personnel-taking-positions-during-encounter_c3291a84-805d-11ea-bf35-36f2d834daf8.jpg
,,,,,
https://www.hindustantimes.com/india-news/in-the-midst-of-darkness-light-persists-rbi-governor-quotes-mahatma-gandhi/story-uuRCVLemvkMyxjtmUViTnO.html,'In the midst of darkness light persists': RBI governor quotes Mahatma Gandhi,"Fri, 17 Apr 2020 04:59:27 GMT ",The RBI governor quoted from Mahatma Gandhi’s speech in October 1931 in London’s Kingsley Hall to focus on what the central bank is doing in its fight against the coronavirus disease.,https://www.hindustantimes.com/india-news/in-the-midst-of-darkness-light-persists-rbi-governor-quotes-mahatma-gandhi/story-uuRCVLemvkMyxjtmUViTnO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/rbi-governor-addresses-media_1792f600-8066-11ea-a716-f322ae116ff6.jpg
,,,,,
https://www.hindustantimes.com/india-news/covid-19-cases-in-india-climb-to-13-387-death-toll-at-437/story-crckuSMrY6JfpkaB45WCRO.html,"Covid-19 cases in India climb to 13,387, death toll at 437","Fri, 17 Apr 2020 03:48:44 GMT ","Maharashtra inched toward the 4000 mark with 3205 active cases, 300 people who have been cured or discharged and 194 deaths. Delhi has 1729 coronavirus infections, out of which 1640 are active cases, 51 cured and 38 deaths.",https://www.hindustantimes.com/india-news/covid-19-cases-in-india-climb-to-13-387-death-toll-at-437/story-crckuSMrY6JfpkaB45WCRO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/delhi-covid-19-lockdown-day-23_35cbb5ec-805e-11ea-a716-f322ae116ff6.jpg
,,,,,
https://www.hindustantimes.com/india-news/indore-emerges-as-covid-19-hotspot-nearly-300-cases-recorded-in-a-single-day/story-w7Tu4hvrMXFwilw9Ofa1DP.html,"Indore emerges as Covid-19 hotspot, nearly 300 cases recorded in a single day","Fri, 17 Apr 2020 03:17:04 GMT ","Covid-19 has claimed the lives of 63 people in the state, according to state health officials. Of these, 47 are in Indore alone.",https://www.hindustantimes.com/india-news/indore-emerges-as-covid-19-hotspot-nearly-300-cases-recorded-in-a-single-day/story-w7Tu4hvrMXFwilw9Ofa1DP.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/leave-patients-being-recovered-discharched-covid-after_4f0be0ba-8057-11ea-a716-f322ae116ff6.jpg
,,,,,
https://www.hindustantimes.com/india-news/several-parts-of-india-hotter-than-usual-already-imd/story-wO9YzuToEzgShGGZihPEYL.html,Several parts of India hotter than usual already: IMD,"Fri, 17 Apr 2020 12:13:03 GMT ",The highest maximum temperature on Wednesday was at Akola in the Vidarbha region at 43.4 degrees C.,https://www.hindustantimes.com/india-news/several-parts-of-india-hotter-than-usual-already-imd/story-wO9YzuToEzgShGGZihPEYL.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/_b50c2a66-803c-11ea-bf35-36f2d834daf8.jpg
,,,,,
https://www.hindustantimes.com/india-news/army-chief-reviews-security-situation-in-kashmir-as-loc-violations-spike/story-sglr5wRWD9Y4CtIfgcCIeO.html,Army chief reviews security situation in Kashmir as LoC violations spike,"Fri, 17 Apr 2020 12:12:59 GMT ","The army chief, besides reviewing the situation in Kashmir was also briefed about the latest security situation on the LoC, especially in north Kashmir.",https://www.hindustantimes.com/india-news/army-chief-reviews-security-situation-in-kashmir-as-loc-violations-spike/story-sglr5wRWD9Y4CtIfgcCIeO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/_3238961a-803c-11ea-bf35-36f2d834daf8.jpg
,,,,,
https://www.hindustantimes.com/india-news/rapid-kits-finally-arrive-to-test-covid-19-immunity/story-ksBNFO4OtunByDP8ceZ2PJ.html,Rapid kits finally arrive to test Covid-19 immunity,"Thu, 16 Apr 2020 09:45:38 GMT ","ICMR guidelines say antibody test should be run after seven days of illness, as it takes at least five to seven days for antibodies to develop after contracting an infection.",https://www.hindustantimes.com/india-news/rapid-kits-finally-arrive-to-test-covid-19-immunity/story-ksBNFO4OtunByDP8ceZ2PJ.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/nepal-health-virus_5f4b9d80-8016-11ea-bf35-36f2d834daf8.jpg
,,,,,
https://www.hindustantimes.com/india-news/plasma-therapy-trial-for-covid-19-patients-in-delhi-soon-arvind-kejriwal/story-IefGCqOcefiavH486JRnAO.html,Plasma therapy trial for Covid-19 patients in Delhi soon: Arvind Kejriwal,"Thu, 16 Apr 2020 04:46:26 GMT ",Convalescent plasma is an experimental procedure for Covid-19 patients who are seriously ill. ,https://www.hindustantimes.com/india-news/plasma-therapy-trial-for-covid-19-patients-in-delhi-soon-arvind-kejriwal/story-IefGCqOcefiavH486JRnAO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/16/Pictures/chief-minister-arvind-kejriwal-addresses_9c4c695a-7fe2-11ea-bf35-36f2d834daf8.jpg
,,,,,
https://www.hindustantimes.com/india-news/covid-19-kolkata-howrah-figure-in-red-zone-bengal-s-death-toll-touches-10/story-OWhEXkdGKGEtM4dY8npnQK.html,"Covid-19: Kolkata, Howrah figure in red zone; Bengal's death toll touches 10","Thu, 16 Apr 2020 04:09:50 GMT ","Chief secretary Rajiv Sinha said Kolkata and Howrah figured in the ‘red zone’ earmarked by the Union health ministry. There are 144 active Covid-19 cases in Bengal while 3,811 people had been tested for the infection till date, he said.",https://www.hindustantimes.com/india-news/covid-19-kolkata-howrah-figure-in-red-zone-bengal-s-death-toll-touches-10/story-OWhEXkdGKGEtM4dY8npnQK.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/16/Pictures/coronavirus-protection-department-surveillance-belgachia-municipal-corporation_109e0018-7ffa-11ea-a716-f322ae116ff6.jpg
,,,,,
https://www.hindustantimes.com/india-news/pm-modi-speaks-to-bhutanese-pm-discusses-situation-arising-out-of-covid-19-pandemic/story-ZBfU1MBN1kyN39kqIGpSLN.html,"PM Modi speaks to Bhutanese PM, discusses situation arising out of Covid-19 pan...","Thu, 16 Apr 2020 04:09:48 GMT ","Narendra Modi and Prime Minister Tshering discussed the regional situation in the wake of the COVID-19 pandemic and updated each other about the steps being taken by their governments to control its effects, an official statement later said.",https://www.hindustantimes.com/india-news/pm-modi-speaks-to-bhutanese-pm-discusses-situation-arising-out-of-covid-19-pandemic/story-ZBfU1MBN1kyN39kqIGpSLN.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/16/Pictures/centenary-brothers-minister-celebrations-narendra-kirloskar-addressing_27dfcee2-7ff9-11ea-aedf-4d2519fcedc3.JPG
